,ID,original_ID,tweet,modified_tweet,sarcastic,exp,prediction,correct,stochastic_prediction_label,stochastic_prediction_rephrase,fluency,adequacy
0,1377.0,sign_3530,i just looooove getting big cases on friday afternoons,i just looooove getting big cases on friday afternoons,1,exp3,1,1,1, i hate getting big cases on friday afternoons ,5,5
1,,lingkling_78603,oh how i love being made out to a huge bitch. #sarcasm,oh how i love being made out to a huge bitch.,1,exp1,1,1,1,I hate being made out to a huge bitch. ,5,5
2,,lingkling_69316,I FUCKING LOVE SPAM MARKETING TEXTS &gt;:( #sarcasm,I FUCKING LOVE SPAM MARKETING TEXTS >:(,1,exp3,1,1,1,I fucking hate the SPAM MARKETING TEXTS. ,4,4
3,5125.0,sign_3595,yes because i loved to be ignored,yes because i loved to be ignored,1,exp1,1,1,1,I hate being ignored. ,5,5
4,17396.0,train_228,I love when I start choking on my water in my 8 person class,I love when I start choking on my water in my 8 person class,1,exp1,1,1,1,I hate it when I start choking on my water in class. ,5,5
5,5350.0,test_a_1175,love it when R gives me the 500th error code of the day,love it when R gives me the 500th error code of the day,1,exp2,1,1,1,I hate it when R gives me the 500th error code of my day.,5,5
6,,lingkling_55513,I'd love to see a Christian who has been criminalized IN THIS COUNTRY #GOPDebate,I'd love to see a Christian who has been criminalized IN THIS COUNTRY,0,exp1,1,0,1,I'd hate to see a Christian who has been criminalized IN THIS COUNTRY. ,3,3
7,,lingkling_70056,looovve getting raw chicken nuggets from farmer boys 😍 #sarcasm #actuallydisgusting,looovve getting raw chicken nuggets from farmer boys 😍,1,exp2,0,0,0,,,
8,3287.0,train_555,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1,exp2,0,0,1,,,
9,,lingkling_71549,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane. #Sarcasm,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane.,1,exp1,0,0,1,,,
10,546.0,train_109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep","I love it when drunk, inconsiderate flatmates come back and start climbing on the roof",1,exp1,1,1,1,"I hate it when drunk, inconsiderate flatmates come back and start climbing on the",2,2
11,9930.0,sign_12280,i love being too mentally ill to email my mental health care provider,i love being too mentally ill to email my mental health care provider,1,exp1,1,1,1,I hate being mentally ill to email my mental health care provider. ,3,2
12,,lingkling_75008,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare. #sarcasm,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare.,1,exp1,1,1,1,I hate it when I rush for my train and its cancelled just as i get to the,2,2
13,8399.0,sign_12179,i love listening to my neighbors blast spanish music,i love listening to my neighbors blast spanish music,1,exp1,1,1,1,i hate listening to my neighbors blast spanish music ,5,5
