ID,original_ID,tweet,sarcastic,rephrase
12607,train_1710,Loving the representation from South Yorkshire 🥰🥰 #GodsOwn #England #ENG #bbcfootball #bbc,0,
4790,train_255,Hate this site [CHIRPBIRDICON],1,I love this site
11657,test_a_93,Loving the fact Carlton Cole knows longelos mum 🤣🤣🤣,0,
3635,sign_10841,loving late night twittering immediately being thrown into online political conversation by people who entered my life by jokes,1,i really shouldn't tweet late at night cause my followers suck me into horrible political discussions
12455,train_2607,Hate people who moan about EVERY SINGLE THING possible 😴👊🏼,0,
14973,sign_2261,love it when the hawks choke,1,hate it when the hawks choke
9609,train_404,Love it wen people try and stop my friends seeing me! Looooolll.,1,"Non sarcastically I would say ""I hate it when people try and get in between me and my friends"" "
15449,sign_5263,love to see and hear people wildly speculate about crashes on cable news,1,love to see and hear people wildly speculate about crashes on cable news
16512,train_364,Love a good cry 👌🏻,1,"I would say ""I hate when someone makes me cry"""
15442,sign_10897,love my fans xoxo,1,literally hate my fans xoxo
1630,sign_8488,um love how the bernie vs hillary snap story's commercial is the purge makeamericapureagain 1 stworldproblems,1,i wonder if the purge is a metaphor for the future
12115,sign_12,love how a lot of ppl quit clash for agar io,1,hate how a lot of ppl quit clash for agar
8610,sign_13086,gotta love yahoo and their dumb advertisements for psychological thrillers horror movies on my tumblr dashboard,1,i hate these ads on my tumblr dashboard
8769,sign_4375,gotta love those audio descriptions in which you can hear the click of a computer keyboard every time the describer stops reading,1,gotta hate those audio descriptions in which you can hear the click of a computer keyboard every time the describer stops reading
14520,sign_13117,gotta love being home when a guy walks into the movie theater with a clear bottle that he's spitting tobacco into,1,gotta hate being home when a guy walks into the movie theater with an unclear bottle that he's spitting tobacco into
2874,sign_13105,gotta love having allergies,1,allergies suck
14440,sign_299,love random guys to share their tinder conquests with me,1,i hate when random guys share their tinder conquests with me
14371,sign_13110,gotta love early morning flights,1,hate early morning flights
13926,sign_5416,love how me and my sister are exactly the same person,1,love how me and my sister are exactly the same person
699,sign_4268,gotta love favoritism in the workplace,1,hate favoritism in the workplace
16044,sign_13096,gotta love the smell of burnt microwave popcorn,1,the smell of burnt microwave popcorn is disgusting
10187,sign_7017,love how fighters show immediate concern for their downed opponents instead of acting like fools,1,fighters usually act like fools
12810,sign_6804,love managing to the save,1,i hate not being able to manage my savings
1591,sign_10884,love that the refs r making their presence known,1,hate that the refs r not making their presence known
11746,sign_10867,love this feeling,1,hate this feeling
2670,sign_2615,love the spanish friars watching jos rizal film,1,hate the spanish friars watching jos rizal film
13367,sign_13090,gotta love these entertainment sites that are so desperate for stories that they spoil shows before some timezones even see them,1,i hate spoilers
11060,train_496,gotta love living in a country where it’s easier to get an AR-15 than it is to get coronavirus testing 😍😝,1,"When I wrote this tweet, COVID testing was really inaccessible. That has somewhat changed but I was really trying to make a comment about how healthcare is a human right and how poorly our country is handling the pandemic. Owning a military-grade weapon isn't really necessary for human life. While I absolutely believe in the right of the working class to arm themselves (although not with an AR-15...), I just think it's ridiculous the barriers that are put up for people when accessing quality healthcare. I think it's run like a business in this country, and it's immoral."
19862,sign_10886,love that i get to work 6 hours on my day off,1,hate that i have to work on my usual day off
1331,sign_10917,love how someone just copies my tweets and deletes the source of the pics,1,hate how someone just copy my tweets and don't keep the source of the pics
9477,sign_10909,love it when the people you've carried now have the strength to climb over you and leave you behind to never look back,1,hate it when the people you've carried now have the strength to climb over you and leave you behind to never look back
15879,sign_10860,love those night flights to europe clt lhr,1,i don't like night flights to europe
9494,train_94,Ah gotta love that Friday morning burnt out feeling 🌄,1,I hate feeling burnt out from work and the never-ending pandemic.
10866,test_a_1120,love when my boss micromanaged me (:,1,
5484,sign_2257,love having my things stolen and returned broken to me,1,hate having my things stolen and returned broken to me
2659,sign_2073,gotta love waking up early to get a cavity filled,1,hate waking up early for a cavity fill
7164,test_a_664,Love the overhead view in the cricket,0,
19239,train_1572,Love that The Paris Hilton doc opens w a Jesus and Mary Chain song,0,
18902,test_a_428,Love it when someone with no mask chooses to sit next to me on the bus...😑,1,
15741,test_a_1273,Love how politicians are exempt from social distancing and all other restrictions placed on the general public,1,
18312,train_785,Love it when I forget to transfer my rent money over from my savings 🥴,1,I really hate forgetting to transfer money for rent
7702,sign_4725,love the fact my friends aren't boring and actually come out,1,hate the fact my friends are boring and actually don't come out
18942,train_724,Love everything in my basket selling our before the sale was meant to start😒 @ZARA_Care @zara,1,"I hate everything in my basket selling out before the sale was meant to start"""
18800,test_a_1323,Love it when you clearly make a restaurant aware of dietary conditions and they ignore it 🥲,1,
3381,train_446,Love that someone broke into my car this morning,1,"I could say ""I hate that someone broke into my car this morning."""
3287,train_555,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1,Gutted that someone has used my card to buy a £175 coffee machine.
18270,train_1283,Love how Kingston just ripped the buckle pad off #AEWAllOut,0,
4838,train_475,love waking up in a panic 🥴🥴,1,I do not like waking up in a panic
5350,test_a_1175,love it when R gives me the 500th error code of the day,1,
6442,test_a_576,"Love a good cat story, especially a Co-op cat... 💙😻💙",0,
15987,test_a_581,Love it when I get disturbed three times in the bath to be asked where things in the house are!!,1,
16903,test_a_561,Love it when the milk is out of date when you buy it,1,
5265,train_90,love getting assignments at 6:25pm on a Friday!!,1,Please do not give me an assignment right before I clock out because now I have to work overtime
