ID,original_ID,tweet,sarcastic,rephrase
17618,test_a_727,I love my friends,0,
13604,train_921,i love shoegaze sm,0,
19730,train_447,I hate you so much @Eagles,1,Being an Eagles fan is disappointing
14998,train_3171,i hate being one of the boys bc one of them just sent me a picture of his poop🥲,0,
719,train_2204,I hate this guy so much https://t.co/lHPKXjNLL4,0,
10166,train_3320,i love the word junction,0,
9087,test_a_757,I love a Monday morning so glad the weekends over!,1,
19559,train_2771,i love my life,0,
6869,train_2810,i love my friends,0,
5755,train_2464,I love me some cupcakes! Especially Sprinkles. #CupcakeATM http://t.co/TPA7ZM8Nsf,0,
13002,train_2021,"I love professional wrestling, y'all",0,
5211,train_682,i love 6 hour panic attacks,1,I don't like having 6-hour panic attacks.
19299,train_2654,I LOVE LORDE GOODNIGHT,0,
7159,train_2825,i LOVE grocery shopping,0,
13743,train_2657,i love video games,0,
11388,sign_12200,i love insomnia,1,i hate insomnia
851,sign_12087,i love twofaced people,1,i hate twofaced people
11902,sign_11774,i'm loving the ceasefire in syria,1,i'm annoyed with the ceasefire in syria
15619,sign_2199,i enjoy our conversations,1,our conversations are not enjoyable for me
18201,test_a_404,I enjoy being at work and can’t wait to come in everyday and see all my happy colleagues,1,
16417,sign_5173,i appreciate people who always take a selfie every single day they have so much confident hahahaha what about me ?,1,i dislike those people who take a selfie every single day they seem to have much time
14443,sign_5670,i appreciate people who only share their opinion with people they agree with,1,i don't appreciate people who only share their opinion with people they agree with
12264,test_a_1270,I enjoy my work but if I had the option I would do a mixture of part time and do what I wanted with rest of my time,0,
11273,train_2913,don’t appreciate having my food delivered to the wrong address :((((,0,
12512,train_235,I love not being pregnant so much it’s my fave thing about myself,1,Im happy not having children.
1913,test_a_885,"I don't like that barbers don't accept card payments, it should be normalised.",0,
7625,sign_4084,i like the way you fail to acknowledge your mistake,1,i don't like the way you fail to acknowledge your mistake
13360,sign_12290,i love being lectured about what i should do with my life it's probably my favorite thing ever,1,i don't like being lectured about what to do with my life
16541,sign_950,i love being reminded how much i've failed out here in utah,1,i hate being reminded how much i've failed out here in utah
9930,sign_12280,i love being too mentally ill to email my mental health care provider,1,i don't like being mentally ill
11437,sign_5017,i love being ignored,1,i hate being ignored
9907,sign_12298,i love being introverted being awkward at social gatherings is so much fun,1,i wish i wasn't so awkward
11862,sign_3270,i love waking up at 4 30 and not being able to fall back to sleep because of hiccups,1,i hate waking up at 4 30 and not being able to fall back to sleep because of hiccups
