tweet,sarcastic,prediction,correct
i looove getting 3 hours of sleep because two jobs,1.0,1,1
i hate people who use big words just to make themselves look perspicacious,1.0,0,0
i love that girl who never liked even my dp,1.0,1,1
I hate that I wasted my whole weekend 😠,0.0,0,1
i love being ignored,1.0,1,1
I hate this guy so much https://t.co/lHPKXjNLL4,0.0,1,0
I hate living in such a cold place,0.0,0,1
I hate seeing my favourite game company go down the drain.,0.0,0,1
yes because i loved to be ignored,1.0,1,1
i'm loving the ceasefire in syria,1.0,1,1
I hate it when a restaurant ignores my dietary requirements,0.0,0,1
happy international lesbian day i love loving women 😍,0.0,0,1
I hate paying so much for gas.,0.0,0,1
i hate it here ❤️❤️❤️❤️❤️,1.0,1,1
I would hate to be stuck in my room for another lockdown,0.0,1,0
i love scary movies by myself,1.0,1,1
i love this new holding pen approach to security lineups at big airports,1.0,1,1
i love when my boyfriend texts me back,1.0,0,0
i love shredding lettuce hahaha,1.0,0,0
i love how the summer's eve feminine wash commercial focuses on a guy who's insecure about his masculinity,1.0,1,1
i love being sarcastic,1.0,1,1
i love when i see people get mad at something that's clearly a joke over social media lol,1.0,1,1
i love when old men cat call me from their work truck in the morning,1.0,1,1
i love arbitrary lines going through customs in airports,1.0,1,1
i love listening to my neighbors blast spanish music,1.0,1,1
yes i would love a lesson on communism individual who only has reference through the word commie and has never read marx engels,1.0,1,1
nothing i love more then coming home to clean something i deep cleaned two days ago,1.0,0,0
i love dashboards which are actually just a tables in a word document or b excel workbooks,1.0,1,1
i love silence,1.0,1,1
i love it when people get nasty with me when i enforce the rules,1.0,1,1
i love insomnia,1.0,1,1
i love twofaced people,1.0,1,1
yes facebook i'd love to see posts from a year ago today,1.0,1,1
i love it when it's my day off and i get called into work,1.0,1,1
i love the urgency we re playing with,1.0,1,1
oh how i love sitting in a court house to pay a ticket,1.0,1,1
What I would love to tweet right now 👀👀,0.0,1,0
i love ppl who don't understand my humor,1.0,1,1
i love how everyone is responding to my texts this weekend,1.0,1,1
I love my friends,0.0,0,1
i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot,1.0,1,1
i love the smell of the hospital er at 3 am,1.0,1,1
i love when my joints randomly click pop during simple movements,1.0,1,1
i love how retweets show up in the what i missed section now,1.0,1,1
i love shoegaze sm,0.0,0,1
I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1.0,1,1
things i love people being wishy washy,1.0,1,1
i love testing my patience grocery shopping at walmart on a sunday night,1.0,1,1
gosh i love 17 hour work days,1.0,1,1
"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep",1.0,1,1
i love when people think the rules don't apply to them,1.0,1,1
i love how corporations like to do the bare minimum that ada allows,1.0,1,1
i love summers with no air con,1.0,1,1
i love waking up to the call of the dying smoke detector,1.0,1,1
i love being too mentally ill to email my mental health care provider,1.0,1,1
i love texting people something important and them not texting me back,1.0,1,1
i love getting drawn on at work especially my face,1.0,1,1
ohhhh atlanta how i love your traffic,1.0,1,1
i love 2 hour nosebleeds level 100,1.0,1,1
i love the way you lie,1.0,1,1
i love when they run the same commercial twice in a row,1.0,1,1
"I love it when women are referred to as ""girl boss"" however men are just the ""boss""!",1.0,1,1
"I love asking my boyfriend, the biology student, really complicated physics questions and seeings his brain melt",0.0,1,0
i love homework,1.0,1,1
i love when my boss asks me to work when she clearly knows i'm blocked,1.0,1,1
i would love to guard steph curry,1.0,1,1
i love how relevant nebraska's primary will be next week,1.0,0,0
i love having people in my life that only get a hold of me when they want something or want to vent or complain,1.0,1,1
i love it when people don't reply,1.0,1,1
ah yes i love replacing a tire at 9 in the morning,1.0,1,1
i love when people don't stop talking to the cashier when people are trying to close up shop,1.0,1,1
