ID,original_ID,tweet,modified_tweet,sarcastic,exp,prediction,correct,negation,fluency,adequacy
1377.0,sign_3530,i just looooove getting big cases on friday afternoons,i just looooove getting big cases on friday afternoons,1,exp3,1,1,I just don't looooove getting big cases on friday afternoons,,
,lingkling_78603,oh how i love being made out to a huge bitch. #sarcasm,oh how i love being made out to a huge bitch.,1,exp1,1,1,Oh how i don't love being made out to a huge bitch.,,
,lingkling_69316,I FUCKING LOVE SPAM MARKETING TEXTS &gt;:( #sarcasm,I FUCKING LOVE SPAM MARKETING TEXTS >:(,1,exp3,1,1,I FUCKING LOVE SPAM MARKETING TEXTS >:(,,
5125.0,sign_3595,yes because i loved to be ignored,yes because i loved to be ignored,1,exp1,1,1,Yes because i didn't love to be ignored,,
17396.0,train_228,I love when I start choking on my water in my 8 person class,I love when I start choking on my water in my 8 person class,1,exp1,1,1,I don't love when I start choking on my water in my 8 person class,,
5350.0,test_a_1175,love it when R gives me the 500th error code of the day,love it when R gives me the 500th error code of the day,1,exp2,1,1,Don't love it when R gives me the 500th error code of the day,,
,lingkling_55513,I'd love to see a Christian who has been criminalized IN THIS COUNTRY #GOPDebate,I'd love to see a Christian who has been criminalized IN THIS COUNTRY,0,exp1,1,0,I hadn't love to see a Christian who has been criminalized IN THIS COUNTRY,,
,lingkling_70056,looovve getting raw chicken nuggets from farmer boys 😍 #sarcasm #actuallydisgusting,looovve getting raw chicken nuggets from farmer boys 😍,1,exp2,0,0,,,
3287.0,train_555,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,Love it when someone buys a £175 coffee machine in Paris with my debit card 😕,1,exp2,0,0,,,
,lingkling_71549,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane. #Sarcasm,Nothing I love more than watching an idiot race in the right lane to insert himself 1 car length ahead of me in the left lane.,1,exp1,0,0,,,
546.0,train_109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep","I love it when drunk, inconsiderate flatmates come back and start climbing on the roof",1,exp1,1,1,"I don't love it when drunk, inconsiderate flatmates come back and start climbing on the roof",,
9930.0,sign_12280,i love being too mentally ill to email my mental health care provider,i love being too mentally ill to email my mental health care provider,1,exp1,1,1,I don't love being too mentally ill to email my mental health care provider,,
,lingkling_75008,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare. #sarcasm,I love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare.,1,exp1,1,1,I don't love it when I rush for my train and it's cancelled just as I get to the platform with minutes to spare.,,
8399.0,sign_12179,i love listening to my neighbors blast spanish music,i love listening to my neighbors blast spanish music,1,exp1,1,1,I don't love listening to my neighbors blast spanish music,,
,lingkling_50722,I #hate #drugs because I love you! 😘😘😘 #Why,I hate drugs because I love you! 😘😘😘,0,exp1,1,0,I don't hate drugs because I love you! 😘😘😘,,
,lingkling_73681,I love spending a ridiculous amount of money on healthy food.. 😒 #sarcasm,I love spending a ridiculous amount of money on healthy food.. 😒,1,exp1,0,0,,,
,lingkling_75841,i just love when people stare at me #sarcasm like idek know what is going through their minds 👽😶,i just love when people stare at me like idek know what is going through their minds 👽😶,1,exp3,1,1,I just don't love when people stare at me like idek know what is going through their minds 👽😶,,
,lingkling_80149,Love how much time me &amp; my boyfriend spend together.  #sarcasm 😒,Love how much time me & my boyfriend spend together. 😒,1,exp2,0,0,,,
14016.0,sign_6575,i love the fact i can't go to sleep when i get off,i love the fact i can't go to sleep when i get off,1,exp1,1,1,I don't love the fact i can't go to sleep when i get off,,
9190.0,train_2824,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,i love smoothies bc u can really eat half a bag of spinach and just not taste it at all,0,exp1,1,0,I don't love smoothies bc u can really eat half a bag of spinach and just not taste it at all,,
156.0,train_3447,i love talking to people about books !!!,i love talking to people about books !!!,0,exp1,0,1,,,
,lingkling_80778,Love when your so tired it looks like you have two black eyes 👌 #Sarcasm,Love when your so tired it looks like you have two black eyes 👌,1,exp2,1,1,Don't love when your so tired it looks like you have two black eyes 👌,,
2680.0,sign_12246,i love having people in my life that only get a hold of me when they want something or want to vent or complain,i love having people in my life that only get a hold of me when they want something or want to vent or complain,1,exp1,1,1,I don't love having people in my life that only get a hold of me when they want something or want to vent or complain,,
,lingkling_67456,"Love a good Facebook friend clearout, well done to those who survived #sarcasm #facebook","Love a good Facebook friend clearout, well done to those who survived",1,exp2,0,0,,,
,lingkling_68444,I love getting paid 100$ in 1s! #sarcasm #stripperlife,I love getting paid 100$ in 1s!,1,exp1,0,0,,,
,lingkling_71149,I just love it when my client doesn't show up to court. #sarcasm,I just love it when my client doesn't show up to court.,1,exp3,1,1,I just don't love it when my client doesn't show up to court.,,
10137.0,train_161,wow i love only ever buying gray and striped shirts,wow i love only ever buying gray and striped shirts,1,exp1,1,1,Wow i don't love only ever buying gray and striped shirts,,
,lingkling_66076,I just love arts and crafts and hot glue guns.. 😒 #sarcasm,I just love arts and crafts and hot glue guns.. 😒,1,exp3,1,1,I just don't love arts and crafts and hot glue guns.. 😒,,
7164.0,test_a_664,Love the overhead view in the cricket,Love the overhead view in the cricket,0,exp2,0,1,,,
,lingkling_63610,I love how there's almost 4 soldiers try a hold back one Palestinian women #prt #sarcasm,I love how there's almost 4 soldiers try a hold back one Palestinian women,1,exp1,1,1,I don't love how there's almost 4 soldiers try a hold back one Palestinian women,,
,lingkling_67244,I fucking love paying my own tuition #sarcasm,I fucking love paying my own tuition,1,exp3,1,1,I don't fuck love paying my own tuition,,
11428.0,sign_1567,i love how relevant nebraska's primary will be next week,i love how relevant nebraska's primary will be next week,1,exp1,0,0,,,
