ID,original_ID,tweet,modified_tweet,sarcastic,rephrase,exp,sentiment_distance
6440.0,sign_6941,i looove getting 3 hours of sleep because two jobs,i looove getting 3 hours of sleep because two jobs,1,i hate getting 3 hours of sleep because two jobs,exp1,0.6971204
12874.0,sign_12479,i hate people who use big words just to make themselves look perspicacious,i hate people who use big words just to make themselves look perspicacious,1,i hate people who use big words just to make themselves look perspicacious,exp1,0.0607041
4295.0,sign_12125,i love that girl who never liked even my dp,i love that girl who never liked even my dp,1,i love that girl who never liked even my dp,exp1,0.85394686
4147.0,train_2222,I hate that I wasted my whole weekend 😠,I hate that I wasted my whole weekend 😠,0,,exp1,0.034025434
11437.0,sign_5017,i love being ignored,i love being ignored,1,i hate being ignored,exp1,0.74976367
719.0,train_2204,I hate this guy so much https://t.co/lHPKXjNLL4,I hate this guy so much,0,,exp1,0.4229838
11335.0,test_c_47,I hate living in such a cold place,I hate living in such a cold place,0,,exp1,0.049732953
6366.0,test_a_1159,I hate seeing my favourite game company go down the drain.,I hate seeing my favourite game company go down the drain.,0,,exp1,0.1390106
5125.0,sign_3595,yes because i loved to be ignored,yes because i loved to be ignored,1,yes because i hate to be ignored,exp1,0.7919429
11902.0,sign_11774,i'm loving the ceasefire in syria,i'm loving the ceasefire in syria,1,i'm annoyed with the ceasefire in syria,exp1,0.55591536
4485.0,test_a_562,I hate it when a restaurant ignores my dietary requirements,I hate it when a restaurant ignores my dietary requirements,0,,exp1,0.07212269
16693.0,test_a_88,I hate paying so much for gas.,I hate paying so much for gas.,0,,exp1,0.028578196
17788.0,train_402,i hate it here ❤️❤️❤️❤️❤️,i hate it here ❤️❤️❤️❤️❤️,1,I hate it here. (no emojis),exp1,0.97955126
9842.0,test_a_1208,I would hate to be stuck in my room for another lockdown,I would hate to be stuck in my room for another lockdown,0,,exp1,0.061356045
7624.0,sign_12151,i love scary movies by myself,i love scary movies by myself,1,i hate watching scary movies alone,exp1,0.45156375
18634.0,sign_6292,i love this new holding pen approach to security lineups at big airports,i love this new holding pen approach to security lineups at big airports,1,annoyed by this new holding pen approach to security lineups at big airports,exp1,0.46186402
14115.0,sign_3361,i love when my boyfriend texts me back,i love when my boyfriend texts me back,1,i hate being single forever,exp1,0.15507095
4516.0,sign_12208,i love how the summer's eve feminine wash commercial focuses on a guy who's insecure about his masculinity,i love how the summer's eve feminine wash commercial focuses on a guy who's insecure about his masculinity,1,this commerical's message was all wrong,exp1,0.6868375
18276.0,sign_5697,i love being sarcastic,i love being sarcastic,1,i don't like being sarcastic,exp1,0.4599233
12917.0,sign_725,i love when old men cat call me from their work truck in the morning,i love when old men cat call me from their work truck in the morning,1,i hate when old men cat call me from their work truck in the morning,exp1,0.503001
2717.0,sign_12309,i love arbitrary lines going through customs in airports,i love arbitrary lines going through customs in airports,1,i hate arbitrary lines going through customs in airports,exp1,0.66248035
8399.0,sign_12179,i love listening to my neighbors blast spanish music,i love listening to my neighbors blast spanish music,1,i hate listening to my neighbors blast spanish music,exp1,0.41747227
300.0,sign_7636,yes i would love a lesson on communism individual who only has reference through the word commie and has never read marx engels,yes i would love a lesson on communism individual who only has reference through the word commie and has never read marx engels,1,i have read marx engels and i wouldn't like a lesson about communism,exp1,0.8194785
19798.0,sign_10334,nothing i love more then coming home to clean something i deep cleaned two days ago,nothing i love more then coming home to clean something i deep cleaned two days ago,1,i hate cleaning things i deep cleaned two days back,exp1,0.12754983
868.0,sign_5349,i love dashboards which are actually just a tables in a word document or b excel workbooks,i love dashboards which are actually just a tables in a word document or b excel workbooks,1,so bored with dashboards which are actually just a tables in a word document or b excel workbooks,exp1,0.62825334
19840.0,sign_5997,i love silence,i love silence,1,i don't like silence,exp1,0.45987752
2352.0,sign_4962,i love it when people get nasty with me when i enforce the rules,i love it when people get nasty with me when i enforce the rules,1,i hate it when people get nasty with me when i enforce the rules,exp1,0.8137279
11388.0,sign_12200,i love insomnia,i love insomnia,1,i hate insomnia,exp1,0.6036625
851.0,sign_12087,i love twofaced people,i love twofaced people,1,i hate twofaced people,exp1,0.64287823
10511.0,sign_7261,yes facebook i'd love to see posts from a year ago today,yes facebook i'd love to see posts from a year ago today,1,yes facebook i'd hate to see posts from a year ago today,exp1,0.5433132
2648.0,sign_12187,i love it when it's my day off and i get called into work,i love it when it's my day off and i get called into work,1,i hate it when it's my day off and i get called into work,exp1,0.6018889
15536.0,sign_7475,i love the urgency we re playing with,i love the urgency we re playing with,1,i hate the urgency we re playing with,exp1,0.40095383
15266.0,sign_5940,oh how i love sitting in a court house to pay a ticket,oh how i love sitting in a court house to pay a ticket,1,oh how i hate sitting in a court house to pay a ticket,exp1,0.70858383
11226.0,test_a_407,What I would love to tweet right now 👀👀,What I would love to tweet right now 👀👀,0,,exp1,0.5997955
10446.0,sign_5435,i love ppl who don't understand my humor,i love ppl who don't understand my humor,1,i hate ppl who don't understand my humor,exp1,0.80098426
18726.0,sign_3083,i love how everyone is responding to my texts this weekend,i love how everyone is responding to my texts this weekend,1,i hate how everyone is responding to my texts this weekend,exp1,0.4404522
17618.0,test_a_727,I love my friends,I love my friends,0,,exp1,0.24336989
16329.0,sign_2253,i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot,i love when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot,1,i hate when my commute consists of people unable to drive while on phones esp when trying to take off my bumper in a parking lot,exp1,0.7273832
8216.0,sign_5210,i love the smell of the hospital er at 3 am,i love the smell of the hospital er at 3 am,1,i hate the smell of the hospital er at 3 am,exp1,0.63393205
1848.0,sign_7093,i love when my joints randomly click pop during simple movements,i love when my joints randomly click pop during simple movements,1,hate when my joints randomly click pop during simple movements,exp1,0.4770768
121.0,sign_1275,i love how retweets show up in the what i missed section now,i love how retweets show up in the what i missed section now,1,i hate how retweets show up in the what i missed section now,exp1,0.58773303
19497.0,train_284,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,I love days when Rob works short call and is only at the hospital for *checks watch* 13 hours.,1,I hate when Rob works short call and is still at the hospital for 13+ hours.,exp1,0.4810628
17988.0,sign_4470,things i love people being wishy washy,things i love people being wishy washy,1,things i hate people being wishy washy,exp1,0.7647062
8386.0,sign_2660,i love testing my patience grocery shopping at walmart on a sunday night,i love testing my patience grocery shopping at walmart on a sunday night,1,i hate testing my patience grocery shopping at walmart on a sunday night,exp1,0.5229728
13839.0,sign_13143,gosh i love 17 hour work days,gosh i love 17 hour work days,1,i hate long days,exp1,0.6414374
546.0,train_109,"I love it when drunk, inconsiderate flatmates come back and start climbing on the roof #istillhaveexams #tryingtosleep","I love it when drunk, inconsiderate flatmates come back and start climbing on the roof",1,It’s awful that my flat mates have come back drunk and are on the roof when I have an exam tomorrow,exp1,0.7449574
14028.0,sign_12059,i love when people think the rules don't apply to them,i love when people think the rules don't apply to them,1,i hate when people think the rules don't apply to them,exp1,0.8066026
2517.0,sign_1443,i love how corporations like to do the bare minimum that ada allows,i love how corporations like to do the bare minimum that ada allows,1,i hate how corporations like to do the bare minimum that ada allows,exp1,0.671929
3981.0,sign_12142,i love summers with no air con,i love summers with no air con,1,i hate summers with no air con,exp1,0.46037674
14719.0,sign_12081,i love waking up to the call of the dying smoke detector,i love waking up to the call of the dying smoke detector,1,smoke detector woke me up and i'm not happy,exp1,0.65895784
9930.0,sign_12280,i love being too mentally ill to email my mental health care provider,i love being too mentally ill to email my mental health care provider,1,i don't like being mentally ill,exp1,0.75094265
11488.0,sign_12131,i love texting people something important and them not texting me back,i love texting people something important and them not texting me back,1,why can't people reply to texts ?,exp1,0.6654254
18485.0,sign_12267,i love getting drawn on at work especially my face,i love getting drawn on at work especially my face,1,i hate getting drawn on at work especially not my face,exp1,0.43049353
12191.0,sign_10075,ohhhh atlanta how i love your traffic,ohhhh atlanta how i love your traffic,1,i hate atlanta traffic,exp1,0.6321716
76.0,sign_12311,i love 2 hour nosebleeds level 100,i love 2 hour nosebleeds level 100,1,two hour nosebleeds are horrible,exp1,0.5753903
12396.0,sign_12097,i love the way you lie,i love the way you lie,1,i hate the way you lie,exp1,0.7898722
5641.0,sign_331,i love when they run the same commercial twice in a row,i love when they run the same commercial twice in a row,1,i hate when they run the same commercial twice in a row,exp1,0.6472203
15058.0,test_a_1398,"I love it when women are referred to as ""girl boss"" however men are just the ""boss""!","I love it when women are referred to as ""girl boss"" however men are just the ""boss""!",1,,exp1,0.489025
18688.0,train_2953,"I love asking my boyfriend, the biology student, really complicated physics questions and seeings his brain melt","I love asking my boyfriend, the biology student, really complicated physics questions and seeings his brain melt",0,,exp1,0.57565033
8484.0,sign_6396,i love homework,i love homework,1,i hate homework,exp1,0.50056803
17770.0,sign_12068,i love when my boss asks me to work when she clearly knows i'm blocked,i love when my boss asks me to work when she clearly knows i'm blocked,1,i hate it when my boss asks me to work when she clearly knows i'm blocked,exp1,0.71371144
9318.0,sign_5314,i would love to guard steph curry,i would love to guard steph curry,1,i wouldn't be excited to guard steph curry,exp1,0.43169588
11428.0,sign_1567,i love how relevant nebraska's primary will be next week,i love how relevant nebraska's primary will be next week,1,nebraska's primary next week will not be relevant at all,exp1,0.26862767
2680.0,sign_12246,i love having people in my life that only get a hold of me when they want something or want to vent or complain,i love having people in my life that only get a hold of me when they want something or want to vent or complain,1,i hate that people only contact me when i can help them with something,exp1,0.8322948
18870.0,sign_4213,i love it when people don't reply,i love it when people don't reply,1,sucks to realise that the espn 3 stream is more than a minute behind the actual play,exp1,0.8315432
18441.0,sign_14477,ah yes i love replacing a tire at 9 in the morning,ah yes i love replacing a tire at 9 in the morning,1,oh no i hate replacing a tire at 9 in the morning,exp1,0.48122036
5192.0,sign_7151,i love when people don't stop talking to the cashier when people are trying to close up shop,i love when people don't stop talking to the cashier when people are trying to close up shop,1,i hate when people don't stop talking to the cashier when people are trying to close up shop,exp1,0.6913391
11357.0,sign_1932,i love it when customers tell me who to vote for,i love it when customers tell me who to vote for,1,i cannot stand when customers tell me who to vote for,exp1,0.5779564
10522.0,sign_5136,i love watching plane crash coverage at the airport,i love watching plane crash coverage at the airport,1,i hate it when i am made to see a plane crash coverage while on an airport,exp1,0.6560915
4981.0,sign_5001,i love that i am over 40 years old amp some people still talk to me like i'm a child,i love that i am over 40 years old & some people still talk to me like i'm a child,1,i hate that besides being 40 some people talk to me like a child,exp1,0.71709245
827.0,test_a_849,Wow I love it when rich people get stuff for free.,Wow I love it when rich people get stuff for free.,1,,exp1,0.42330536
10882.0,sign_12170,i love listening to others bitch about work while i'm running around doing everything,i love listening to others bitch about work while i'm running around doing everything,1,i hate when people complain and i have to do their job,exp1,0.65917194
14016.0,sign_6575,i love the fact i can't go to sleep when i get off,i love the fact i can't go to sleep when i get off,1,i hate the fact i can't go to sleep when i get off,exp1,0.71648824
8343.0,sign_12260,i love getting up this early to fly to work,i love getting up this early to fly to work,1,i don't like getting up this early to fly to work,exp1,0.53935164
9752.0,sign_12289,i love being super wellspoken and just having days where everything gets mixed up or botched,i love being super wellspoken and just having days where everything gets mixed up or botched,1,i hate the days when i mess up everything,exp1,0.54936904
5039.0,sign_12191,i love it when i have to beg for my paycheck,i love it when i have to beg for my paycheck,1,i really shouldn't have to beg for my pay check,exp1,0.7706872
