ID,tweet,annotation
9551, the best time to have an existential crisis is when youre entire body feels like shit,
19296,The French anthem is a banger. Love this gorgeous orchestration! #Olympics,
15647,"@GodisaGeek Publisher, not developer.",
10587,@stereogum @ChemBros I swear I heard this sample way back as far as London 2012 opening ceremony??,
15933,"Thank you my lovely friend for mentioning Heelas, New Woods’ new EP 🥰 Going to make my way through everything on this list!",
8180,"will never understand why ppl do meth,, just buy a shit tonne of incense in bulk stupid",
14758,Dear No Label Academy students… we’re still not done. Each and every one of you will receive a brand new MacBook to continue your musical journey’s. ❤️ https://t.co/Aod5lrXPmb,
11682,Someone stole the 13.1 magnet off my car! #asshole #really?,
11946,They broke the law. End of story. Doesn’t matter how ‘big’ it was.,
5533, love having my things stolen and returned broken to me,
1560,i need human stimulation in order to be productive… anyone who’s down to find a space to co-work from “home” together pls hmu!!,
17653,@futboIjacob @LFC @Thiago6 It literally says in the article that he’s expected back next week.,
10629,Republicans will say “the Republican Party ended slavery” like that means it’s ok that they’re trying to bring it back,
7445,"nothing more I want/ever wanted in life than this move to London for a couple months to go ahead, finally being able to enjoy life a lil 🤞🏻",
5630,Too much on my mind 😖,
5434,Brother's off on a night out and I've gone to bed cos I feel exhausted and sick.... excellent 👍🏻,
9048,why are the olympics worried about athletes having too much sex when the curling teams don't even compete in the summer games,
13263, painting the kitchen and dining room is exactly what i wanna do after getting home from work sense my ?,
18534, i love do you ?,
9757,Very exciting to see rapper @Santandave1 referencing Of Mice and Men on his verse 👏🏽😂 https://t.co/4onZzT8ze8,
7995,How many jabs do you want us to have? 10? 20?,
9326,Hangovers are inhumane,
9620,I'm going wedding dress shopping Thursday 😊,
15291,my love language is now just sending you tiktoks,
16485,"Looking forward to the race tomorrow, two possibly different approach with two different Tyre Strategy.  Well played to red bull with the cleaver use of toe. Giving max an all advantage at the start tomorrow",
3176, but since i must never know what i'm talking about,
8355,Get O’Hare off for Vik and play 5-3-2 with Kelly screening the gaps in the defence.,
8096, what a great way to end the first day of summer,
7598,I do not understand deku’s fa jin quirk,
1625,Mom put powdered carpet cleaner all over the floor and now it legit smells like we are living in a stable,
10282,Want another piercing 👀,
48,"Sure, vaccines make no difference to Covid spread; that's why the hospitals are full of unvaccinated people. Are you able to do the maths?",
19141, awesome,
5330, i come home from a night and work and i get to clean up dog vomit oh joy oh bliss,
687,POV you walk into my room at 2am and I'm crawling around on all fours because someone on TikTok did it and had super buff arms,
15776,"Thank you so much for this lovely review, Mandy! I’m delighted you enjoyed it 🥰📚🎄❄️🎄",
19662,"Packing up and moving out of Sheff today was one of the hardest, most emosh things I’ve had to do. Ever. S11 ily",
5526, oh yea go ahead and sleep in my bed,
7216, ladies the key to my heart is drawnon eyebrows take notice,
11760,the curious george soundtrack radicalized me at the tender age of four,
3675,New Girl makes me so happy,
10439,Stop gatekeeping retirement living communities. I am mentally and spiritually ready to move in.,
1091,"Yay - snow day, I can work from home - oh wait....",
11029,Only want someone who loves dancing just as much as I do,
16484,@truelyesoteric @howisthewater @JacobWohlReport Tomorrow at noon it's instant communism and we get our national wife chain started.,
14994,I'm settled for a night in front of the TV watching #SoccerAid,
3443,You are kind lala. Thank you once again to you &amp; bhabi for making my a day a memorable one ❤,
5010, all of a sudden there are so many music industry experts in kc,
10979,"New year, new me, noodles",
17138,Need a new job 🙄,
4512,Can someone explain the chase rules to me? Whats the low offers for? N what does it mean when its minus,
16816,Pretending to blow on my beverage as I drink wine out of a mug during my zoom class because I am the queen of deception!!!!!!!!!,
10572,"What if my work friends are also just….my friends? 

Can we party together as long as we don’t talk about work? 

Very confused.",
1709,i’m still confused why 11 isn’t pronounced onety one 🤨,
10157,Tensions a bit high in my house tonight because my roommates got in a swordfight in the living room and one hit the other in the face,
18310,Cant wait to start another mindless week at work!,
12630,"i have been informed that, as aroace and agender, i have triple visibility and am now visible from space.",
15304,I never thought at the start of lockdown that I would say lockdown life would be too overwhelming for me lol,
10533,I nominate this numb nut to have his citizenship revoked. You??,
17032,people who hate the snow give off the same energy as people who hate cats,
10098,Improving rail infrastructure north of Perth would improve matters significantly. Any fixed timetable to provide double track I wonder?,
19446,"Day 55 of Lockdown. Finally bought some jigsaw puzzles. Absolutely cannot wait for them to come, highlight of my day (maybe even year)",
19848,"orange is a fruit, a flavour and a colour and an orange is all three combined, madness",
17080,nevermind i can’t put them in,
8535, the only meaningful attribution u will make in your existence is an organ donor,
1028,a level tudor history can do one,
7655,Does anyone have any recommendations for over the counter topical pain relief that actually works?,
10561,never drinking again,
15211,Boris Johnson is not a clown. The conservative party is not corrupt.,
16101,Good morning to everyone except Tristan Thompson and Jordyn Woods,
10272, we're in third place time to panic,
3871, you guys should really be impressed with my mad skills using glitter glue,
12946, wow these calls aren't one sided or anything fuck the refs fuck the caps,
18225,"How is it that I’ve managed 3 months without milking a single cow, then the day before I leave I get roped into a 5am milking??",
14545,Did you know? Abuse and alcoholism and depression will just ✨disappear✨ if the country is opened completely during a pandemic? #trumpisanidiot #bidenharris2020,
4846,More than our fair share of pelters in this section tonight 🙄,
1448,wearing all manners of rings and chains bc i always have to be the sexiest person in the home depot,
17157,"What people?
How do you storm a Megadeth song?",
11703, dad to daughter what kind of boys do you likedaughter i like pink color boys,
2341,"Does the BBC want us to get infected?
Does the BBC care about the people or just the Tories?",
2113, never seen so many dots stripes blobs in makeup demonstrations how did we survive without contouring,
19147,Omg thank u for pointing out that I apologize too much 🙏,
11343, so my professor just made my final a group project thanks,
9639,I wonder if it's too late for me to re-enroll in University and relive it all just one last time.,
14508,i wnat hug :(,
1271,The world according to Jeff Goldblum is such a gift,
10849, you ignored me amp smiled like if you were doing good i had to dry my mascara from the tears just cause you did this oh the pain,
17297,I love online shopping because if I am physically in a store and an employee even looks at me I will immediately leave.,
